holiday_at_purchase,is_holiday_in_7_days,is_holiday_in_14_days,had_holiday_7_days_ago,purchase_hour,purchase_day_of_week,is_weekend,price,freight_value,product_weight_g,volume_cm3,distance_km,same_city,prazo_transportadora_dias,resultado_real_atraso
0,0,1,0,15,5,1,58.99,13.07,200,3960.0,65.936,0,16,0
0,0,1,0,20,5,1,24.99,13.76,2350,10648.0,411.255,0,16,0
0,0,1,0,10,6,1,119.9,13.5,459,3276.0,284.778,0,20,0
0,0,1,0,8,6,1,49.0,13.0,250,640.0,221.179,0,17,0
0,0,1,0,14,5,1,106.0,17.95,3305,35100.0,112.93,0,10,0
0,0,1,0,14,5,1,106.0,17.95,3305,35100.0,112.93,0,10,0
0,0,1,0,21,6,1,43.44,8.46,500,18000.0,39.084,0,13,0
0,0,1,0,10,6,1,29.9,7.95,250,1200.0,33.494,0,13,0
0,0,1,0,22,4,0,44.9,9.0,400,600.0,69.169,0,9,0
0,0,1,0,9,2,0,114.9,12.29,2600,7616.0,156.853,0,8,0
0,0,0,0,17,5,1,29.9,8.96,900,12000.0,4.712,0,13,0
0,0,1,0,20,6,1,94.0,18.96,3300,28420.0,599.739,0,17,0
0,0,1,0,12,4,0,169.0,13.84,308,2112.0,296.777,0,16,0
0,0,1,0,10,5,1,179.17,19.55,3875,35937.0,426.201,0,20,0
0,0,1,0,10,5,1,179.17,19.55,3875,35937.0,426.201,0,20,0
0,0,1,0,16,5,1,59.99,11.44,950,17500.0,25.485,0,10,0
0,0,0,0,19,3,0,12.47,7.39,125,1045.0,83.655,0,8,0
0,0,1,0,21,6,1,35.0,13.83,650,6859.0,412.799,0,21,0
0,0,0,0,18,0,0,29.0,8.89,233,4928.0,54.502,0,0,1
0,0,1,0,22,0,0,89.99,11.65,1200,15750.0,52.08,0,14,0
0,0,1,0,22,6,1,25.0,12.84,250,2688.0,198.759,0,22,0
0,0,1,0,18,0,0,6.9,7.39,50,2720.0,52.992,0,13,0
0,0,1,0,14,5,1,30.9,13.8,800,9000.0,315.028,0,21,0
0,0,1,0,22,0,0,19.9,12.8,150,2604.0,40.36,0,17,0
0,0,1,0,21,4,0,46.0,7.58,100,1331.0,60.132,0,10,0
0,0,1,0,10,5,1,38.99,25.2,550,2560.0,319.009,0,16,0
0,0,1,0,10,5,1,41.99,2.52,650,2560.0,319.009,0,16,0
0,0,1,0,21,5,1,49.99,13.01,350,2560.0,251.453,0,21,0
0,0,1,0,16,6,1,15.0,12.79,250,7875.0,433.498,0,21,0
0,0,1,0,11,0,0,34.0,13.82,700,27000.0,158.699,0,21,0
